frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10,ip11,ip12,ip13,ip14,ip15,ip16,ip17,ip18,ip19,ip20,ip21,ip22,ip23,ip24,ip25,ip26,ip27,ip28,ip29,ip30,ip31,ip32,ip33,ip34
25,"Apr  9, 2019 20:56:22.081985633 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,111.221.29.254,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,"Apr  9, 2019 20:56:22.082158829 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,"Apr  9, 2019 20:56:22.086091152 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,"Apr  9, 2019 20:56:22.086116513 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,"Apr  9, 2019 20:56:22.086356813 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,"Apr  9, 2019 20:56:22.086370912 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,"Apr  9, 2019 20:56:22.086506336 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,103.229.10.162,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,"Apr  9, 2019 20:56:22.086519616 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,"Apr  9, 2019 20:56:22.091413845 IST",48:e2:44:d2:8c:13,a8:96:75:07:4b:51,192.168.43.196,103.229.10.162,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,"Apr  9, 2019 20:56:22.153967102 IST",a8:96:75:07:4b:51,48:e2:44:d2:8c:13,104.73.138.159,192.168.43.196,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
